69	72	69	47	69	22
65	94	15	77	50	16
63	11	18	95	92	73
96	27	42	14	21	73
90	20	8	11	45	32
97	50	63	30	69	19
1	98	97	48	98	21
72	18	83	21	24	75
42	52	33	23	62	64
4	82	6	93	30	59
29	23	53	14	55	64
49	72	66	57	1	73
50	60	60	60	60	50
23	32	70	40	69	59
52	93	80	96	59	36
62	79	57	40	7	46
4	96	69	34	42	79
19	13	94	14	47	88
66	46	96	69	76	99
41	45	28	34	47	20
54	54	96	62	71	56
17	46	38	57	95	30
87	75	56	42	30	85
43	62	20	63	80	94
90	9	12	65	63	11
23	88	42	15	45	52
75	38	34	10	5	35
24	50	18	32	92	77
56	53	47	23	10	56
95	57	94	82	81	81
70	72	27	60	65	99
33	7	85	86	77	52
49	100	76	87	30	43
10	70	20	66	83	74
86	62	57	92	61	45
82	42	36	84	39	23
19	100	49	97	85	48
98	34	28	93	94	93
13	38	20	11	42	57
37	25	72	18	4	1
75	29	22	89	29	31
57	66	94	80	6	87
84	9	87	64	92	77
27	60	2	87	87	68
58	45	28	62	80	48
92	64	21	61	48	73
6	4	33	90	75	69
100	44	65	66	68	83
35	65	26	88	14	25
83	24	19	9	35	72
99	40	50	86	13	81
23	15	38	22	92	86
7	2	54	15	47	81
60	95	43	73	32	57
68	11	60	2	5	80
75	79	72	47	42	25
84	24	93	37	54	41
79	29	52	92	36	15
58	87	11	56	47	1
94	84	82	55	79	5
22	28	80	27	3	68
13	75	32	43	46	52
54	53	50	54	8	54
35	83	3	86	19	57
88	90	51	25	50	58
9	60	17	99	48	30
97	21	34	7	68	56
60	14	54	5	47	83
62	34	33	48	28	74
14	93	10	50	62	61
91	21	20	70	77	2
45	50	7	77	80	31
73	7	57	50	89	100
26	43	48	65	73	86
17	59	65	83	91	4
26	98	30	81	18	66
26	14	63	26	14	88
33	53	53	18	93	57
28	57	28	49	56	10
11	37	68	30	67	100
15	45	30	30	84	18
27	47	20	50	48	85
96	100	10	42	69	42
39	56	55	56	46	7
31	21	29	4	45	19
71	36	82	16	23	6
47	3	56	100	42	96
22	4	61	13	44	32
66	99	58	22	64	90
59	45	40	31	74	81
36	98	40	36	14	12
1	72	4	72	48	7
48	35	23	63	18	57
45	91	88	76	53	19
95	23	63	36	15	32
81	15	34	36	13	28
64	8	61	44	49	37
2	24	45	60	21	63
2	15	90	80	61	93
27	11	8	76	84	75
19	97	91	67	35	32
35	58	3	84	85	38
60	25	46	12	48	28
33	52	34	21	86	1
18	81	88	76	54	70
20	23	49	23	100	95
96	34	71	85	50	88
53	49	54	78	64	15
47	37	24	39	29	11
87	87	25	98	70	83
57	19	86	82	91	55
27	13	46	14	100	26
77	67	13	49	81	87
60	12	30	11	36	22
31	42	60	47	77	10
37	97	21	55	86	13
98	98	97	21	22	41
26	29	3	76	50	43
42	98	19	22	56	76
64	73	20	31	37	29
69	48	69	9	72	39
70	24	37	4	91	19
43	72	95	45	36	97
10	25	90	96	89	41
38	31	32	78	2	96
52	16	96	20	22	75
82	22	30	65	27	9
39	70	46	36	69	5
30	96	27	6	36	44
66	73	92	31	73	3
54	64	63	34	84	2
98	72	75	9	47	82
22	6	23	58	7	70
85	27	13	10	23	17
56	19	77	79	89	4
63	47	94	6	72	69
40	70	86	35	74	57
71	85	68	41	69	17
99	85	34	31	65	61
65	20	48	88	1	84
29	81	80	9	46	32
70	46	5	30	31	15
86	30	12	45	96	65
7	22	97	87	44	13
60	24	86	53	44	44
38	5	29	13	73	82
49	11	80	2	12	64
21	39	28	80	61	49
67	40	32	94	16	22
19	47	93	17	22	30
55	11	22	66	74	3
81	7	11	88	78	9
94	78	84	1	2	60
3	78	58	15	48	63
7	49	14	12	26	62
83	7	96	35	90	57
27	23	81	33	48	65
25	11	5	84	82	79
40	42	52	41	10	12
87	67	85	73	29	21
4	61	92	91	5	7
51	26	39	25	34	40
76	50	56	9	16	70
42	39	83	6	90	14
97	78	46	82	67	31
31	92	63	63	6	41
3	77	95	95	7	24
26	73	58	6	84	32
80	38	12	62	89	77
100	43	10	49	46	80
98	98	57	95	97	73
80	27	94	40	3	52
26	27	62	59	38	70
94	56	60	69	48	99
49	30	98	8	51	20
58	29	21	49	94	42
9	29	89	10	56	61
25	97	15	86	31	15
61	99	70	46	95	43
87	57	36	91	65	70
68	41	100	25	23	59
25	91	68	91	41	60
72	69	63	16	1	12
39	100	91	37	21	97
35	20	76	63	70	97
99	15	37	11	63	70
59	41	6	92	55	3
22	15	69	83	83	56
57	44	35	68	56	19
22	58	34	73	10	50
89	8	62	7	26	28
81	68	4	68	5	13
34	40	35	86	85	96
73	91	79	97	50	52
32	13	77	86	7	37
94	39	1	29	1	23
20	23	38	65	55	87
70	71	24	30	53	82
62	9	3	34	89	84
78	2	32	11	24	21
20	85	84	84	68	35
100	37	87	70	90	18
87	47	52	3	75	85
20	66	64	53	95	85
90	100	12	53	47	99
5	24	92	92	23	39
18	47	68	100	9	56
57	41	46	95	74	9
2	35	14	98	7	7
55	91	58	18	66	39
39	46	51	94	29	28
87	98	42	35	41	95
83	35	29	81	8	46
44	97	82	62	33	75
2	5	9	61	34	48
55	42	15	57	29	55
30	90	1	27	75	34
7	83	2	64	15	32
70	26	65	93	42	74
50	48	82	15	90	67
45	51	19	7	31	48
50	70	51	100	49	41
58	34	92	40	6	4
68	62	4	60	66	38
94	98	29	11	63	47
60	98	47	49	85	72
28	14	20	18	93	44
93	77	56	85	44	62
62	33	61	47	60	2
80	12	39	39	49	10
94	80	16	93	33	60
91	80	93	67	44	15
34	12	45	56	94	13
16	25	87	34	9	86
40	24	27	38	53	100
57	33	81	19	72	35
96	19	45	81	25	26
49	98	60	87	10	5
67	24	75	57	78	71
55	41	71	32	54	22
22	25	52	8	41	23
2	48	91	26	96	52
78	21	62	72	100	16
78	41	86	27	90	20
80	22	29	40	92	65
99	55	49	58	77	66
15	77	36	99	81	35
52	27	33	18	10	9
29	73	73	14	73	66
66	71	61	96	30	85
62	13	82	92	71	32
22	93	51	23	31	38
75	81	1	1	42	2
59	78	86	59	9	35
5	60	13	18	73	87
14	97	89	35	15	55
61	30	48	17	3	39
85	23	62	22	58	77
16	89	88	37	53	89
70	73	3	12	70	77
47	48	63	76	24	39
58	11	42	52	78	72
17	76	82	12	58	11
52	25	3	48	91	97
59	3	89	56	37	90
5	35	17	20	98	60
32	96	63	59	49	58
52	71	75	23	38	93
23	60	40	98	49	96
86	28	47	19	62	82
7	59	100	42	99	40
42	22	13	58	93	23
70	78	24	10	32	22
76	25	26	90	31	85
6	85	85	39	38	70
49	46	86	23	82	15
81	88	69	90	55	23
56	23	78	88	30	99
13	1	13	17	42	65
39	35	71	1	29	87
40	13	15	94	83	71
21	12	43	60	4	29
22	82	53	34	9	15
21	35	41	82	13	12
29	12	7	38	41	26
72	50	34	91	100	81
36	77	56	79	58	97
28	12	8	43	2	46
71	18	6	70	24	29
2	23	31	23	18	5
