29	76	26	46	37
62	60	78	28	84
85	96	75	35	17
44	28	95	78	59
81	90	53	88	67
40	46	31	69	19
86	93	43	24	32
74	38	86	66	79
34	43	34	94	77
74	46	25	54	38
42	82	52	21	46
96	60	78	58	99
28	64	10	11	77
95	65	79	62	17
86	68	38	60	68
50	89	34	79	66
28	50	28	55	58
40	19	44	51	68
47	12	15	79	67
95	92	92	94	97
43	48	47	63	35
18	61	77	71	37
84	42	60	96	70
56	35	69	30	82
52	73	78	38	54
42	90	73	86	80
73	83	65	82	33
95	35	34	60	83
34	51	62	18	50
38	28	77	33	96
24	38	39	85	76
76	94	96	13	58
71	39	92	18	14
40	74	28	27	93
24	15	48	85	99
75	79	68	71	97
37	44	27	85	41
17	69	23	85	38
26	30	36	11	35
75	42	50	45	49
11	36	12	17	53
69	97	65	96	50
54	46	41	95	25
66	67	94	74	22
31	87	32	22	75
70	10	84	39	70
51	56	47	93	79
97	28	17	81	61
69	70	21	22	57
80	89	61	38	90
94	85	75	64	44
34	26	98	86	26
17	79	26	40	17
26	66	50	29	98
88	84	93	94	41
75	27	76	20	67
11	42	17	71	92
89	11	57	84	89
46	26	67	37	92
41	64	66	25	17
34	33	39	87	51
35	45	35	26	59
28	94	53	38	72
98	17	20	79	84
67	84	10	78	84
92	56	86	54	18
99	45	11	74	13
77	51	96	61	14
46	37	38	85	34
60	77	10	80	49
98	82	38	35	13
42	52	22	58	62
36	68	90	10	61
71	44	83	59	43
11	10	86	68	57
76	21	55	98	54
50	33	87	23	25
23	44	83	75	48
22	59	84	93	84
83	78	80	76	90
52	18	72	37	76
54	87	62	42	96
73	37	17	37	79
52	27	15	72	43
36	46	96	31	49
99	61	60	84	33
56	70	29	64	22
86	75	69	40	56
45	70	59	90	76
27	37	25	10	45
35	89	27	50	11
65	21	80	88	38
69	35	20	98	62
11	85	19	63	10
22	25	41	41	88
51	50	84	51	26
47	70	68	11	56
12	51	27	10	95
33	32	21	84	62
26	80	80	97	21
42	35	44	60	37
30	61	45	19	86
61	38	87	61	22
26	34	45	65	22
90	84	63	45	29
17	61	83	95	99
36	12	22	28	37
89	64	73	54	72
49	17	59	29	22
15	86	11	64	88
31	34	13	91	35
84	28	96	36	87
92	11	86	31	20
67	63	95	79	82
10	83	20	53	68
93	13	45	50	82
39	61	21	67	70
97	60	24	14	38
18	88	88	48	48
41	86	69	16	52
55	94	42	89	92
35	78	81	71	14
26	53	61	27	72
69	62	45	22	20
25	84	60	99	83
69	13	44	95	52
34	72	51	77	96
19	76	63	22	98
70	45	24	57	42
39	90	94	94	98
14	91	36	17	94
63	65	97	98	69
35	89	21	25	57
66	50	89	38	20
91	73	68	65	57
30	50	10	88	36
50	49	27	44	93
52	58	83	35	22
65	22	34	18	91
35	17	97	75	76
70	96	25	82	39
35	15	95	69	85
77	72	46	56	73
26	65	45	88	69
60	66	20	83	18
96	66	21	26	13
48	26	60	32	46
15	94	99	92	57
36	57	15	62	51
16	73	84	99	48
40	89	88	61	60
42	53	81	30	93
27	77	68	47	20
51	90	85	25	46
39	29	96	65	39
95	34	90	89	59
91	91	46	79	78
73	90	97	67	18
25	20	69	31	14
22	17	15	82	76
15	87	61	83	89
15	30	77	29	17
73	66	76	23	43
29	37	60	30	91
31	22	93	98	42
20	99	86	59	77
32	61	90	86	72
54	41	78	76	23
22	91	66	30	35
64	87	97	57	15
22	11	81	68	29
19	10	30	58	18
79	33	40	60	96
46	50	16	95	85
91	22	46	83	58
76	70	59	89	54
86	90	53	31	29
75	98	14	32	14
82	89	65	36	77
24	72	48	31	81
14	25	15	39	76
16	70	58	31	98
24	47	28	97	86
79	24	50	86	44
49	50	46	34	99
46	98	26	24	95
28	79	94	64	90
61	44	19	48	23
53	84	35	49	47
43	44	39	87	79
26	63	83	39	63
30	99	89	57	67
54	86	70	81	86
70	87	36	94	19
34	10	45	55	99
61	38	23	73	69
71	77	44	96	46
95	76	59	66	23
49	48	60	43	15
11	40	24	81	80
64	74	95	74	63
25	22	92	48	96
15	37	18	59	47
40	60	96	83	43
65	36	63	25	10
27	35	78	82	82
39	10	27	30	25
98	51	14	25	44
13	30	14	86	63
91	30	96	53	49
23	13	15	66	31
58	16	54	74	41
88	29	37	81	13
43	51	84	68	14
76	75	90	83	36
58	40	95	56	63
76	43	93	49	47
26	43	95	63	31
36	31	91	31	36
23	72	99	96	16
52	62	90	33	27
62	65	27	57	91
99	26	15	40	84
92	51	68	26	95
45	21	44	42	76
97	62	13	85	34
17	72	49	76	14
59	48	16	97	59
98	72	78	48	82
63	37	67	76	73
62	30	83	97	92
31	65	39	26	52
61	29	91	43	42
79	69	81	22	39
34	77	75	92	95
81	49	98	89	80
40	20	52	38	84
31	53	88	30	96
72	65	48	77	15
54	10	72	37	17
69	32	38	60	73
60	32	76	34	58
14	89	52	57	35
48	58	96	18	18
36	79	67	21	17
27	77	70	60	29
60	86	90	33	89
14	49	46	59	39
89	80	71	33	98
34	62	14	79	12
79	13	62	62	32
67	95	66	93	78
63	55	70	93	70
73	68	33	51	34
56	11	62	38	87
17	27	70	66	70
88	33	30	18	18
96	96	30	57	28
28	16	38	51	95
75	93	62	92	65
64	61	72	30	41
58	60	51	27	73
96	71	12	59	95
34	36	76	81	38
40	30	67	21	44
55	33	70	36	32
98	95	47	35	44
65	34	67	37	42
27	31	30	71	50
82	21	75	99	29
89	10	93	49	23
84	85	87	76	35
62	58	52	88	99
54	75	21	93	84
62	82	97	32	51
82	80	69	44	47
46	52	45	66	11
90	48	95	21	74
61	82	63	66	86
90	31	40	85	80
24	14	42	91	76
97	67	77	61	62
46	52	36	50	17
55	67	93	51	58
24	70	14	32	49
77	39	59	91	57
48	47	31	28	13
43	69	87	93	33
27	51	60	59	49
84	62	29	66	76
36	68	46	77	56
88	12	41	14	95
75	94	95	10	35
72	82	52	93	34
66	74	25	10	30
41	17	73	38	50
57	59	86	63	50
73	35	35	17	24
17	30	37	48	28
49	27	67	11	42
34	45	22	52	23
77	68	13	24	68
48	57	89	68	60
20	77	87	44	99
74	99	35	34	19
29	76	53	43	59
56	43	28	11	56
57	16	27	69	40
72	53	43	68	11
43	37	90	24	53
90	33	34	62	86
70	47	81	21	42
80	96	74	55	57
42	27	92	64	88
74	23	22	29	94
13	91	56	47	32
23	20	18	98	26
53	75	42	78	91
16	79	65	53	96
21	36	40	70	84
35	42	22	88	17
23	18	74	89	60
64	42	43	83	28
80	39	72	35	48
57	86	43	76	15
73	16	93	10	13
90	89	90	41	70
63	60	90	21	20
85	42	93	49	11
67	71	58	70	49
58	90	71	31	33
23	45	72	66	85
27	76	65	83	71
60	32	65	86	86
25	56	43	94	45
25	66	57	90	13
55	68	59	90	27
63	48	30	82	90
86	74	55	18	92
55	69	70	29	77
90	33	38	84	34
11	84	31	43	84
69	84	88	24	89
37	74	45	41	51
38	70	85	55	80
70	17	24	26	17
84	45	74	92	29
16	22	39	77	34
98	88	92	59	24
62	71	62	69	79
66	34	22	77	40
52	35	64	29	20
78	61	45	75	64
42	55	47	71	75
47	71	83	43	65
40	29	81	12	37
87	27	14	27	64
65	31	16	62	64
31	37	45	16	47
25	61	23	62	17
70	15	92	60	71
51	77	19	13	62
94	11	60	72	36
17	28	12	29	16
61	17	13	33	42
36	63	49	84	13
20	74	74	53	88
75	47	41	39	31
33	28	53	33	56
82	89	38	65	26
79	21	16	58	54
91	16	63	45	58
60	80	57	64	17
91	73	10	44	33
65	50	71	60	22
39	92	24	19	32
18	90	33	52	44
95	77	49	90	99
76	41	99	62	58
42	12	90	15	40
51	73	67	63	11
66	93	78	11	10
23	96	54	71	27
68	96	69	47	35
14	27	45	65	69
38	55	27	46	79
87	10	52	95	75
68	56	23	67	76
34	28	22	25	32
59	67	30	98	21
81	72	98	18	86
83	53	57	71	52
94	63	73	23	89
26	39	27	42	20
85	69	85	53	42
85	10	77	32	54
52	43	98	54	12
89	75	73	47	74
43	46	80	46	79
63	56	48	20	29
