23	54	27	43	15	88	75
43	36	38	25	23	86	73
89	81	81	15	73	38	96
58	25	67	30	91	14	88
21	92	71	34	87	66	94
51	21	16	34	68	60	22
39	67	78	29	32	54	19
30	36	43	76	39	21	28
11	70	69	32	75	38	56
50	96	75	15	89	92	57
47	42	30	16	61	78	100
66	26	50	11	93	97	88
82	59	79	16	62	49	85
45	34	16	79	50	12	91
13	17	36	34	77	84	36
19	70	68	59	100	60	79
91	31	92	21	36	42	37
81	70	37	49	93	86	26
82	91	50	95	88	85	74
53	39	84	14	44	44	61
21	61	43	68	26	42	65
14	45	27	85	60	11	22
31	18	67	79	46	44	29
41	56	50	64	42	56	37
74	56	10	52	24	54	14
83	100	99	55	61	54	91
34	85	40	37	44	26	57
48	98	59	67	50	48	57
85	45	78	94	68	29	30
93	10	30	60	10	28	85
98	11	99	32	48	47	87
76	86	64	26	61	23	64
24	82	55	80	77	76	44
15	38	17	86	14	13	61
45	17	78	95	69	58	91
61	76	62	31	31	55	54
36	91	72	88	32	54	88
65	96	91	87	86	17	61
41	43	81	35	35	41	98
26	84	44	17	55	87	18
76	37	54	20	31	12	31
14	73	26	82	30	29	78
57	32	54	93	37	28	63
79	81	96	27	51	68	29
93	22	33	59	68	100	84
46	30	35	82	21	86	96
41	83	97	75	66	72	55
72	50	18	82	56	19	61
87	99	35	84	37	55	93
86	32	51	25	30	13	98
38	10	96	78	30	51	67
99	99	35	22	90	19	22
73	83	13	23	60	34	72
50	90	72	18	90	22	60
76	50	45	69	63	45	47
48	97	18	79	25	44	79
48	42	22	90	90	79	47
52	83	38	14	49	55	73
17	69	41	50	69	39	23
50	44	74	46	21	88	30
30	75	34	99	78	48	99
100	65	53	35	92	13	88
55	74	99	86	87	98	89
22	99	45	94	42	38	30
74	23	52	56	61	99	18
44	33	98	21	83	43	25
26	78	78	96	46	99	30
34	82	29	63	78	25	66
89	30	62	30	85	87	80
64	77	12	39	29	52	16
60	48	93	49	29	40	63
22	50	86	19	10	23	72
49	47	22	37	66	15	79
15	27	89	20	60	74	37
46	48	99	52	49	94	49
60	74	94	13	82	24	93
38	46	49	15	72	31	20
56	29	90	100	83	73	46
62	20	27	19	14	31	21
44	46	93	86	69	68	24
91	22	77	80	55	24	97
28	29	65	40	31	83	62
88	16	48	28	88	96	43
29	98	87	57	80	50	65
71	89	90	25	52	14	84
79	36	57	57	60	10	13
94	81	21	97	43	81	60
82	50	15	19	58	96	59
31	61	68	86	32	13	33
23	76	56	95	43	43	29
48	21	60	98	64	75	30
90	61	22	17	46	10	30
89	14	81	78	21	87	47
53	76	84	18	87	10	74
94	25	19	80	56	37	35
18	26	70	79	33	98	14
47	28	21	29	90	32	68
91	16	14	44	75	66	23
53	43	23	68	14	40	64
19	60	89	38	43	35	43
16	61	33	12	27	14	70
15	75	22	47	20	28	67
20	80	78	68	81	96	95
43	79	22	97	81	86	81
42	61	30	94	41	39	58
10	53	11	79	64	99	67
46	85	89	14	13	23	78
59	71	42	51	82	64	60
62	23	31	32	85	47	68
72	74	89	10	37	94	76
18	57	27	12	40	83	38
73	91	13	58	14	88	46
92	28	25	71	32	53	75
28	44	30	96	83	100	80
22	20	36	31	11	46	99
11	32	59	62	19	18	16
68	29	95	22	45	40	57
21	42	95	43	38	90	19
82	74	38	66	24	84	32
95	12	18	30	98	81	47
17	30	21	96	23	23	90
10	34	43	10	94	81	74
75	97	71	32	35	81	39
90	52	27	92	54	34	96
43	28	40	41	67	90	37
51	36	96	25	44	43	54
22	41	29	11	62	28	86
88	34	24	51	67	25	94
68	60	72	29	25	38	82
26	58	67	70	59	82	99
29	62	88	90	28	74	79
57	91	35	69	50	20	76
64	65	62	28	58	22	41
37	93	67	90	90	46	89
95	28	68	15	89	25	89
89	75	52	51	73	30	39
81	87	62	78	60	54	32
31	23	36	86	88	72	85
100	90	66	69	17	80	92
61	94	27	34	92	92	80
71	26	90	76	27	24	69
51	72	72	69	83	62	19
47	44	43	12	73	40	79
10	100	11	41	99	32	52
47	34	26	54	21	85	23
82	65	58	55	82	33	81
26	36	51	37	43	23	93
25	11	63	30	60	42	56
47	13	69	60	53	73	50
80	75	52	71	74	33	90
62	28	12	18	57	11	75
76	85	63	17	88	65	49
15	31	49	58	53	30	12
94	71	61	29	48	51	77
51	53	80	59	37	35	39
91	55	27	95	38	17	36
82	17	58	52	57	21	51
84	47	78	91	20	92	12
31	70	63	10	43	62	86
52	47	85	51	55	47	66
37	73	28	17	93	47	32
31	62	37	86	53	48	70
66	23	22	61	56	31	81
19	18	37	99	91	36	84
96	75	78	66	74	84	18
29	50	78	39	22	15	100
60	69	47	43	72	56	30
28	65	63	86	18	89	88
43	50	29	34	33	75	43
66	40	20	41	43	91	49
98	72	61	30	24	44	100
69	60	100	48	44	31	83
11	53	12	10	30	49	31
16	18	25	61	27	15	29
94	74	20	48	49	44	31
79	49	53	100	16	28	30
39	36	99	12	43	77	63
14	75	46	83	19	78	15
10	41	57	95	25	58	99
71	48	15	63	14	74	27
35	96	77	11	41	47	21
24	52	13	88	75	23	92
11	43	66	54	51	84	20
96	81	48	74	23	24	52
65	75	26	14	30	63	90
47	30	23	44	47	90	47
45	45	85	54	94	45	99
37	13	46	97	10	41	38
56	90	39	94	85	40	95
87	70	12	20	53	80	22
64	73	40	75	15	97	74
32	72	59	35	17	11	47
65	100	26	37	77	87	83
30	61	48	66	69	40	53
96	80	83	88	23	17	41
81	83	35	35	87	76	65
35	63	26	26	87	53	36
89	27	73	66	45	23	93
34	88	50	80	25	37	83
68	68	41	33	84	78	62
84	40	63	85	52	16	68
91	78	89	26	12	71	86
72	41	43	16	95	25	76
23	87	19	78	27	34	63
71	33	29	50	25	74	39
40	81	59	11	48	91	83
88	26	38	88	34	83	84
81	20	18	59	85	42	23
100	80	43	13	16	22	57
38	10	67	91	33	94	54
51	21	87	35	29	85	21
31	61	12	56	19	56	23
67	42	20	27	34	74	25
87	27	18	70	47	43	28
61	53	44	57	41	38	52
51	20	36	67	74	12	78
11	26	33	50	21	30	11
90	50	60	30	41	29	39
23	87	17	65	66	33	24
14	14	17	78	95	47	88
90	67	64	43	90	49	35
39	51	98	67	21	64	84
12	24	76	77	89	16	43
68	46	47	39	42	74	97
18	89	58	89	68	53	85
95	56	95	14	68	50	51
11	55	51	55	17	27	12
42	53	87	27	11	67	90
63	30	39	70	75	12	38
37	99	24	37	34	33	72
43	33	92	71	50	36	47
13	66	52	60	47	66	92
86	73	84	58	66	51	13
42	20	82	94	92	38	21
32	25	88	77	15	64	91
98	47	24	98	90	54	46
32	75	24	76	18	75	41
95	93	32	59	61	63	85
25	67	31	41	20	22	18
20	54	86	61	95	61	40
56	88	64	78	99	67	46
82	96	63	93	80	66	86
27	21	80	57	19	75	19
78	17	94	66	61	18	26
49	95	76	65	72	51	47
16	11	53	44	89	62	19
55	93	52	76	43	98	85
13	41	69	49	58	36	21
